time_utc,timestamp,side,price,size,usd_volume,q_yes,q_no,exposure,locked_pnl,tx_hash,outcome
2025-12-12T22:45:44,1765579544,YES,0.5,4.0,2.0,4.0,0,2.0,-2.0,0x4c6001a27e1c3495a7dba19fcd216df835ff640c3e8a2050d7b3afc66bf36309,up
2025-12-12T22:45:44,1765579544,NO,0.5099998316998873,1.960783,0.9999990000000001,4.0,1.960783,2.999999,-1.039216,0x95de196cae2440990468d94c9d0ccf8613b3c6c7f9f767330efcae2ec7eb1c7e,down
2025-12-12T22:45:46,1765579546,YES,0.5,8.0,4.0,12.0,1.960783,6.999999,-5.039216,0x48b693268c1e43c5d29a3169b0bdb3bb84b6159484b9e5cf8d31156a5de97f4f,up
2025-12-12T22:45:46,1765579546,NO,0.5,100.0,50.0,12.0,101.960783,56.999999,-44.999999,0x16dae09dc38b2320d73361abab28d81e676fc94e4f7fbc3c23c2739881f10907,down
2025-12-12T22:45:50,1765579550,NO,0.51,5.0,2.55,12.0,106.960783,59.549999,-47.549999,0x57092cd9b4bc01faf637b498e569a7edf308706f68e33aae3eb4b37cb836a1f9,down
2025-12-12T22:45:52,1765579552,YES,0.49,5.0,2.45,17.0,106.960783,61.999999,-44.999999,0x86b0f4dc552b2376bdafbc20f555f4a4b0c329e234d1341f278eff1439a9a51b,up
2025-12-12T22:45:52,1765579552,NO,0.52,12.0,6.24,17.0,118.960783,68.239999,-51.239999,0x687375c95266ae0251b3414bb30b29f130b2f4251977b4bb4f286c4bca496dd1,down
2025-12-12T22:45:52,1765579552,NO,0.51,46.25,23.587500000000002,17.0,165.210783,91.827499,-74.827499,0x33121bb07dc68b1be5a8725490ba7e25848d23b7ca4c878051ce44ff53bc0474,down
2025-12-12T22:45:52,1765579552,NO,0.51,10.0,5.1,17.0,175.210783,96.927499,-79.927499,0x665f4992ffdbde120bf5d72ca345590a1e1cc9abde1718959713249b0ab34092,down
2025-12-12T22:45:52,1765579552,YES,0.49,15.0,7.35,32.0,175.210783,104.27749899999999,-72.27749899999999,0x1dba9ae135f805ad2bc45bf1414f1af8ae9def8f1537f90eeb7e729aade1f8a4,up
2025-12-12T22:45:54,1765579554,NO,0.51,13.44,6.8544,32.0,188.650783,111.13189899999999,-79.13189899999999,0x48921c980bd6e71a0662c588c7d1719cb3398b48967f6f4084d5086cf18b9c55,down
2025-12-12T22:47:14,1765579634,NO,0.62,7.2,4.464,32.0,195.85078299999998,115.59589899999999,-83.59589899999999,0x7a22b6f08893823839d8536907aefb791f45b4ae6a88c54a298293c46ac92478,down
2025-12-12T22:47:14,1765579634,NO,0.62,29.41,18.2342,32.0,225.26078299999998,133.830099,-101.83009899999999,0x67c5c6421cb7a90abbb190a0a5145e969d4fd492192de2bef6d61635d294b7ec,down
2025-12-12T22:47:14,1765579634,NO,0.63,5.0,3.15,32.0,230.26078299999998,136.980099,-104.980099,0xc2565a50c1fdb4f9c90840cd2f790a281519339444d25bf4a2a287cfd0fd8bd0,down
2025-12-12T22:47:16,1765579636,NO,0.65,25.0,16.25,32.0,255.26078299999998,153.230099,-121.230099,0x5db37ef2dd28b17b9e021e231d928fbaef335ef4a48bed968618c727e0faf69b,down
2025-12-12T22:47:16,1765579636,YES,0.34,5.0,1.7000000000000002,37.0,255.26078299999998,154.93009899999998,-117.93009899999998,0x79589ffb4941aaae95416142af0a442eabb7469e86bba1e9b7eda2db3f135c21,up
2025-12-12T22:47:16,1765579636,YES,0.3699999134042142,3.810809,1.409999,40.810809,255.26078299999998,156.34009799999998,-115.52928899999998,0x819af0414c50c464795a6307d176186b6de2d0e991a1d3d9dfc75ff7ced14d98,up
2025-12-12T22:47:16,1765579636,NO,0.64,15.0,9.6,40.810809,270.26078299999995,165.94009799999998,-125.12928899999997,0xf8f5f48519d77060edd1407399db1ab675346a8dbdd7330e025268647c301d75,down
2025-12-12T22:47:16,1765579636,YES,0.37999994679998084,5.263156,1.999999,46.073965,270.26078299999995,167.94009699999998,-121.86613199999998,0x74551237b5111955ab842367f14ede5d333fa4f30b4d3009bfb1d5f48c367bfb,up
2025-12-12T22:47:16,1765579636,NO,0.64,60.51,38.7264,46.073965,330.77078299999994,206.666497,-160.592532,0x4790b266893a43e26a42e775b47681eab7df5cd39ea1c93984c308d28ba06464,down
2025-12-12T22:47:16,1765579636,NO,0.6499999774305459,6.646151,4.319998,46.073965,337.4169339999999,210.986495,-164.91253,0xbce16d841bdf004385bff4dd1c1fc3c58254594b6b5b6cc7818a02910229ecc4,down
2025-12-12T22:47:16,1765579636,NO,0.62,6.0,3.7199999999999998,46.073965,343.4169339999999,214.706495,-168.63252999999997,0x3436459df365f2d20e81d9f37368847ff0ec0bddfe34a670477d3888262b9476,down
2025-12-12T22:47:16,1765579636,NO,0.6499999707207155,6.830768,4.439999,46.073965,350.2477019999999,219.146494,-173.07252899999997,0xd19b926aa483a19625f113ab6bd2069ee01611e3aebb6bf4d0b014af93005bbd,down
2025-12-12T22:47:16,1765579636,NO,0.65,6.73846,4.379999,46.073965,356.98616199999987,223.526493,-177.45252799999997,0x2e23b9ee4e9d5a11698902c1b7e76e757562fc13cb48a816c7773508a81db914,down
2025-12-12T22:47:18,1765579638,NO,0.67,7.0,4.69,46.073965,363.98616199999987,228.21649299999999,-182.14252799999997,0xbc380244825dd799aab6c651e979fb7e9340d1f67ec5fe8801767eb29e42a099,down
2025-12-12T22:47:18,1765579638,YES,0.339999829999915,2.941175,0.999999,49.01514,363.98616199999987,229.216492,-180.20135199999999,0x5470e91377575e59a7ce2f9465d929e5f0c778fe1701f7e8e1aee65a1fa6032b,up
