timestamp,slug,pnl,outcome,size,details
2025-12-15 14:00:24,btc-updown-15m-1765807200,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:01:04,btc-updown-15m-1765807200,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:01:04,btc-updown-15m-1765807200,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:01:04,btc-updown-15m-1765807200,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:15:24,btc-updown-15m-1765808100,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:16:04,btc-updown-15m-1765808100,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:16:04,btc-updown-15m-1765808100,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:16:04,btc-updown-15m-1765808100,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:30:24,btc-updown-15m-1765809000,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:31:03,btc-updown-15m-1765809000,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:31:04,btc-updown-15m-1765809000,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:31:04,btc-updown-15m-1765809000,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:45:12,btc-updown-15m-1765809900,0.6,FULL_STRADDLE,30,Bought UP@0.55 DOWN@0.43
2025-12-15 14:45:24,btc-updown-15m-1765809900,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:46:04,btc-updown-15m-1765809900,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:46:04,btc-updown-15m-1765809900,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 14:46:04,btc-updown-15m-1765809900,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:00:17,btc-updown-15m-1765810800,1.55,FULL_STRADDLE,31,Bought UP@0.45 DOWN@0.50
2025-12-15 15:00:24,btc-updown-15m-1765810800,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:01:04,btc-updown-15m-1765810800,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:01:04,btc-updown-15m-1765810800,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:01:04,btc-updown-15m-1765810800,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:15:25,btc-updown-15m-1765811700,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:16:04,btc-updown-15m-1765811700,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:16:04,btc-updown-15m-1765811700,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:16:05,btc-updown-15m-1765811700,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:30:24,btc-updown-15m-1765812600,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:31:04,btc-updown-15m-1765812600,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:31:04,btc-updown-15m-1765812600,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:31:04,btc-updown-15m-1765812600,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:31:55,btc-updown-15m-1765812600,8.4,UNWOUND,30,Unwound DOWN @ 0.79 (Entry 0.51)
2025-12-15 15:45:23,btc-updown-15m-1765813500,1.24,FULL_STRADDLE,31,Bought UP@0.49 DOWN@0.47
2025-12-15 15:45:24,btc-updown-15m-1765813500,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:46:04,btc-updown-15m-1765813500,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:46:04,btc-updown-15m-1765813500,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 15:46:04,btc-updown-15m-1765813500,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:00:21,btc-updown-15m-1765814400,0.6,FULL_STRADDLE,30,Bought UP@0.39 DOWN@0.59
2025-12-15 16:00:24,btc-updown-15m-1765814400,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:01:04,btc-updown-15m-1765814400,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:01:04,btc-updown-15m-1765814400,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:01:04,btc-updown-15m-1765814400,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:15:23,btc-updown-15m-1765815300,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:15:29,btc-updown-15m-1765815300,0.6,FULL_STRADDLE,30,Bought UP@0.51 DOWN@0.47
2025-12-15 16:16:04,btc-updown-15m-1765815300,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:16:04,btc-updown-15m-1765815300,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:16:04,btc-updown-15m-1765815300,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:30:23,btc-updown-15m-1765816200,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:31:04,btc-updown-15m-1765816200,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:31:04,btc-updown-15m-1765816200,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:31:04,btc-updown-15m-1765816200,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:45:24,btc-updown-15m-1765817100,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:46:04,btc-updown-15m-1765817100,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:46:04,btc-updown-15m-1765817100,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 16:46:04,btc-updown-15m-1765817100,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:00:24,btc-updown-15m-1765818000,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:01:03,btc-updown-15m-1765818000,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:01:04,btc-updown-15m-1765818000,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:01:04,btc-updown-15m-1765818000,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:15:24,btc-updown-15m-1765818900,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:16:04,btc-updown-15m-1765818900,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:16:04,btc-updown-15m-1765818900,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:16:04,btc-updown-15m-1765818900,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:30:24,btc-updown-15m-1765819800,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:31:04,btc-updown-15m-1765819800,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:31:04,btc-updown-15m-1765819800,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:31:04,btc-updown-15m-1765819800,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:45:24,btc-updown-15m-1765820700,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:46:04,btc-updown-15m-1765820700,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:46:04,btc-updown-15m-1765820700,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 17:46:04,btc-updown-15m-1765820700,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:00:24,btc-updown-15m-1765821600,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:01:03,btc-updown-15m-1765821600,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:01:04,btc-updown-15m-1765821600,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
